batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
5888708	5888708_23153_0_0.cram.crai	5888708_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj3jJ14J7qjfP3kgKPj8q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj9QJ14JBff0VBBxFXz68
5888714	5888714_23153_0_0.cram.crai	5888714_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpVjJ2bqy7Jp68g0XVz96	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpVjJ2bqk65763jfjypGg
5888740	5888740_23153_0_0.cram.crai	5888740_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Z3jJKBb2Qf4v3jQjpQ4z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Z50JKBb59V544519jfZQ
5888753	5888753_23153_0_0.cram.crai	5888753_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPJ8J14J65Yx53k17F2Q9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPKjJ14J0jKFZ3jf5QGZZ
5888795	5888795_23153_0_0.cram.crai	5888795_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf10bjJKz9Vv92p3jFzgvJ4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf10bjJKz9pXXQZ3kp07j5V
5888868	5888868_23153_0_0.cram.crai	5888868_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8g0J2P9965763jfjygF6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8g0J2P90F8xJ3kB944pF
5888894	5888894_23153_0_0.cram.crai	5888894_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYpQJq9X57v96P5VP7Gzq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYqQJq9XFX08fG45vKFyj
5888919	5888919_23153_0_0.cram.crai	5888919_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxff0JBY6k58zV3kz19ZQj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxffQJBY6pZkpz3kYVJzxy
5888926	5888926_23153_0_0.cram.crai	5888926_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx6v8J473286YP7ZVP4K7Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx790J47365Yx53k17F16J
5888934	5888934_23153_0_0.cram.crai	5888934_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyg68JF0Z0jKFZ3jf5QZqf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyg7QJF0ZGfQGY3jj1fZ21
5888955	5888955_23153_0_0.cram.crai	5888955_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz1JQJkXfjzFQF3jG6zf94	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz198JkXfb7v96P5VP7Q3x
5889007	5889007_23153_0_0.cram.crai	5889007_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf59B8JX7457v96P5VP8Kgp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf59BjJX7493V1V3jZGGBZB
5889028	5889028_23153_0_0.cram.crai	5889028_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3yQJj9zbxXGv3jPxvy6q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3zjJj9zp2P0F3P9JVXf1
5889044	5889044_23153_0_0.cram.crai	5889044_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZ3jJ6B5Yy9vZ3kP6jgj6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYyjJ6B5k65763jfjyk7F
5889056	5889056_23153_0_0.cram.crai	5889056_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf536jJQj8PzFk0PvKKQ0q6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5378JQj865Yx53k17GFV0
5889061	5889061_23153_0_0.cram.crai	5889061_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5k0JfjzFJqj13pX3qJ5Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5p0JfjzG4jfV3jbZZ8KK
5889083	5889083_23153_0_0.cram.crai	5889083_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf05P8J4kqkb4843jZpXV7F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf05PQJ4kqy32Fv3jjxk2k1
5889118	5889118_23153_0_0.cram.crai	5889118_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Jz0J1v3Y6fz03jJVg5Q9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Jz8J1v3zzFk0PvKKPZyg
5889143	5889143_23153_0_0.cram.crai	5889143_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxj8J18XgJ5pq6gy76y9g	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxj8J18XbxXGv3jPxvxBk
5889151	5889151_23153_0_0.cram.crai	5889151_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1V0JZB9yYGJZ3jyQ9zp5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1V0JZB9v4jfV3jbZZ7Xf
