batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
5850511	5850511_23153_0_0.cram.crai	5850511_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfyQJk49pZkpz3kYVK01F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxfz0Jk49gqjfP3kgKPQg8
5850536	5850536_23153_0_0.cram.crai	5850536_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYy0J96J57v96P5VP7J0f	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYyjJ96J1Jx4y3kq3y2f9
5850545	5850545_23153_0_0.cram.crai	5850545_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQBQJ2vgpZkpz3kYVK5F2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQBjJ2vggJ5pq6gy7781Q
5850558	5850558_23153_0_0.cram.crai	5850558_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0BjJZYj6QX8B3kyz0ZVG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0GjJZYjByB9v3jV38F1G
5850567	5850567_23153_0_0.cram.crai	5850567_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxg3jJ4GY05xP83jXBJYPf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxg4QJ4GY57v96P5VP76yb
5850605	5850605_23153_0_0.cram.crai	5850605_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz230J51ZG9ky93jF7YV51	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz230J51Z57v96P5VP7Q8b
5850620	5850620_23153_0_0.cram.crai	5850620_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpQQJVb0K7Jp68g0XVkjb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpV8JVb02Kg6V3jYvqB0P
5850651	5850651_23153_0_0.cram.crai	5850651_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1jPjJPbFGXqY33k9G42Vj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1jPjJPbF65Yx53k17FjP4
5850666	5850666_23153_0_0.cram.crai	5850666_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf18z8JPbF84gBb3kQYJ5qV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf18zQJPbFJ9g6y3jJvfzfK
5850684	5850684_23153_0_0.cram.crai	5850684_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxjQJZB9Yy9vZ3kP6jYzJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxjjJZB9pXXQZ3kp073j8
5850708	5850708_23153_0_0.cram.crai	5850708_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyxxQJP5vByB9v3jV38jKz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyxyjJP5v3fQVX3jFk0Pq1
5850714	5850714_23153_0_0.cram.crai	5850714_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz2bQJvyFj4gBb3kQYGvy2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz2bQJvyFx1vFb3k48gg2y
5850727	5850727_23153_0_0.cram.crai	5850727_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby7XQJz5Jyxx324vBY0xf1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby7QQJz5JjzFQF3jG6zQXg
5850771	5850771_23153_0_0.cram.crai	5850771_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yXQJjV8vfQGY3jj1gFPB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yXjJjV8k3V1V3jZGFq94
5850795	5850795_23153_0_0.cram.crai	5850795_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1K0JbBKGfQGY3jj1fPK4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1P0JbBKG9ky93jF7Y9PV
5850812	5850812_23153_0_0.cram.crai	5850812_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfYQJ2bqvJ1Bv3jzp09vQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfZQJ2bqjzFQF3jG6zGbG
5850821	5850821_23153_0_0.cram.crai	5850821_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgG0JQqg958zV3kz19Zpb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgG8JQqg0F8xJ3kB947G8
5850849	5850849_23153_0_0.cram.crai	5850849_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQg0JXP9kb4843jZpX6jj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQg8JXP9YfQVX3jFk0J38
5850857	5850857_23153_0_0.cram.crai	5850857_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxqQJP5vK7Jp68g0XX02q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxvQJP5v05xP83jXBJb71
5850870	5850870_23153_0_0.cram.crai	5850870_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf41fQJ7YXbVfK43k0bFpGj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf41g8J7YXgJ5pq6gy78FzZ
5850901	5850901_23153_0_0.cram.crai	5850901_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4vv0JkG457v96P5VP8G0K	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4vv0JkG45VfK43k0bG1Px
5850942	5850942_23153_0_0.cram.crai	5850942_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4QFQJ9V0vfQGY3jj1gPpK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4QG8J9V0y7Jp68g0XY41X
5850955	5850955_23153_0_0.cram.crai	5850955_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3p28J7YXQ05Q332gPZq2p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3p30J7YXkPxkG3k8v720f
5850987	5850987_23153_0_0.cram.crai	5850987_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z8jJ7YXp2P0F3P9JXqXJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z9QJ7YXzzFk0PvKKPGb3
5850993	5850993_23153_0_0.cram.crai	5850993_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0x1jJKz9yxx324vBY19f6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0x1jJKz9fbJq23kb90B2K
5851027	5851027_23153_0_0.cram.crai	5851027_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYj8JpgK36fz03jJVbkj4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYj8JpgK36fz03jJVbkj6
5851053	5851053_23153_0_0.cram.crai	5851053_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyxgjJj9zVJx4y3kq3y4kk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyxk0Jj9zQyB833kVX9qBv
5851062	5851062_23153_0_0.cram.crai	5851062_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9K8J36PJJ1YV3jzqZ108	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9P8J36PJQqfk3jJYVf2x
5851086	5851086_23153_0_0.cram.crai	5851086_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby270J8xV3fQVX3jFk09z6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby278J8xVJQqfk3jJYVXp4
5851095	5851095_23153_0_0.cram.crai	5851095_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0j0J9FgB2P0F3P9JVX5v	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0y0J9Fg958zV3kz19Qxg
5851109	5851109_23153_0_0.cram.crai	5851109_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybq8BjJ2qX6QX8B3kyz0V3b	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybq8FjJ2qXPgyZ03jF78pb6
5851146	5851146_23153_0_0.cram.crai	5851146_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfGj38Jgx0V3J3Q14vB1p5q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfGj3QJgx0k3V1V3jZGJz3j
5851175	5851175_23153_0_0.cram.crai	5851175_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Xb0Jz6Zv9ky93jF7ZFQy	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Xf0Jz6ZQjKFZ3jf5VKvv
5851180	5851180_23153_0_0.cram.crai	5851180_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxggQJxyVGfQGY3jj1fJZJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxgj8JxyV0zQ6f737bXKxJ
