2021-06-10 22:05:39 remove grub2-common:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:39 status half-configured grub2-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status half-installed grub2-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2021-06-10 22:05:39 status config-files grub2-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 remove grub-pc-bin:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:39 status half-configured grub-pc-bin:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status half-installed grub-pc-bin:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status config-files grub-pc-bin:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status not-installed grub-pc-bin:amd64 <none>
2021-06-10 22:05:39 remove grub-common:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:39 status half-configured grub-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status half-installed grub-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status config-files grub-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 startup packages configure
2021-06-10 22:05:39 trigproc install-info:amd64 6.7.0.dfsg.2-5 <none>
2021-06-10 22:05:39 status half-configured install-info:amd64 6.7.0.dfsg.2-5
2021-06-10 22:05:39 status installed install-info:amd64 6.7.0.dfsg.2-5
2021-06-10 22:05:39 trigproc man-db:amd64 2.9.1-1 <none>
2021-06-10 22:05:39 status half-configured man-db:amd64 2.9.1-1
2021-06-10 22:05:39 status installed man-db:amd64 2.9.1-1
2021-06-10 22:05:39 startup packages purge
2021-06-10 22:05:39 purge grub2-common:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:39 status config-files grub2-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:39 status not-installed grub2-common:amd64 <none>
2021-06-10 22:05:39 purge grub-pc:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:39 status config-files grub-pc:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:40 status not-installed grub-pc:amd64 <none>
2021-06-10 22:05:40 purge grub-common:amd64 2.04-1ubuntu26.12 <none>
2021-06-10 22:05:40 status config-files grub-common:amd64 2.04-1ubuntu26.12
2021-06-10 22:05:40 status triggers-pending systemd:amd64 245.4-4ubuntu3.6
2021-06-10 22:05:40 status not-installed grub-common:amd64 <none>
2021-06-10 22:05:41 startup packages configure
2021-06-10 22:05:41 trigproc systemd:amd64 245.4-4ubuntu3.6 <none>
2021-06-10 22:05:41 status half-configured systemd:amd64 245.4-4ubuntu3.6
2021-06-10 22:05:41 status installed systemd:amd64 245.4-4ubuntu3.6
2021-06-13 21:59:05 startup packages remove
2021-06-13 21:59:05 status installed cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1
2021-06-13 21:59:05 remove cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1 <none>
2021-06-13 21:59:05 status half-configured cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1
2021-06-13 21:59:05 status half-installed cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1
2021-06-13 21:59:05 status triggers-pending man-db:amd64 2.9.1-1
2021-06-13 21:59:05 status config-files cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1
2021-06-13 21:59:05 startup packages configure
2021-06-13 21:59:05 trigproc man-db:amd64 2.9.1-1 <none>
2021-06-13 21:59:05 status half-configured man-db:amd64 2.9.1-1
2021-06-13 21:59:05 status installed man-db:amd64 2.9.1-1
2021-06-13 21:59:05 startup packages purge
2021-06-13 21:59:05 purge cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1 <none>
2021-06-13 21:59:05 status config-files cloud-init:all 21.2-3-g899bfaa9-0ubuntu2~20.04.1
2021-06-13 21:59:05 status triggers-pending rsyslog:amd64 8.2001.0-1ubuntu1.1
2021-06-13 21:59:06 status not-installed cloud-init:all <none>
2021-06-13 21:59:06 startup packages configure
2021-06-13 21:59:06 trigproc rsyslog:amd64 8.2001.0-1ubuntu1.1 <none>
2021-06-13 21:59:06 status half-configured rsyslog:amd64 8.2001.0-1ubuntu1.1
2021-06-13 21:59:07 status installed rsyslog:amd64 8.2001.0-1ubuntu1.1
2021-06-13 22:00:23 startup archives unpack
2021-06-13 22:00:23 install libc-ares2:amd64 <none> 1.15.0-1build1
2021-06-13 22:00:23 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-06-13 22:00:23 status half-installed libc-ares2:amd64 1.15.0-1build1
2021-06-13 22:00:23 status unpacked libc-ares2:amd64 1.15.0-1build1
2021-06-13 22:00:23 install libssh2-1:amd64 <none> 1.8.0-2.1build1
2021-06-13 22:00:23 status half-installed libssh2-1:amd64 1.8.0-2.1build1
2021-06-13 22:00:23 status unpacked libssh2-1:amd64 1.8.0-2.1build1
2021-06-13 22:00:23 install libaria2-0:amd64 <none> 1.35.0-1build1
2021-06-13 22:00:23 status half-installed libaria2-0:amd64 1.35.0-1build1
2021-06-13 22:00:23 status unpacked libaria2-0:amd64 1.35.0-1build1
2021-06-13 22:00:23 install aria2:amd64 <none> 1.35.0-1build1
2021-06-13 22:00:23 status half-installed aria2:amd64 1.35.0-1build1
2021-06-13 22:00:23 status triggers-pending man-db:amd64 2.9.1-1
2021-06-13 22:00:23 status unpacked aria2:amd64 1.35.0-1build1
2021-06-13 22:00:23 install m4:amd64 <none> 1.4.18-4
2021-06-13 22:00:23 status half-installed m4:amd64 1.4.18-4
2021-06-13 22:00:23 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2021-06-13 22:00:24 status unpacked m4:amd64 1.4.18-4
2021-06-13 22:00:24 install autoconf:all <none> 2.69-11.1
2021-06-13 22:00:24 status half-installed autoconf:all 2.69-11.1
2021-06-13 22:00:24 status unpacked autoconf:all 2.69-11.1
2021-06-13 22:00:24 install autotools-dev:all <none> 20180224.1
2021-06-13 22:00:24 status half-installed autotools-dev:all 20180224.1
2021-06-13 22:00:24 status unpacked autotools-dev:all 20180224.1
2021-06-13 22:00:24 install automake:all <none> 1:1.16.1-4ubuntu6
2021-06-13 22:00:24 status half-installed automake:all 1:1.16.1-4ubuntu6
2021-06-13 22:00:25 status unpacked automake:all 1:1.16.1-4ubuntu6
2021-06-13 22:00:25 install binutils-common:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:25 status half-installed binutils-common:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 status unpacked binutils-common:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 install libbinutils:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:25 status half-installed libbinutils:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 status unpacked libbinutils:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 install libctf-nobfd0:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:25 status half-installed libctf-nobfd0:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 status unpacked libctf-nobfd0:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 install libctf0:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:25 status half-installed libctf0:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:25 status unpacked libctf0:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:26 install binutils-x86-64-linux-gnu:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:26 status half-installed binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:27 status unpacked binutils-x86-64-linux-gnu:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:27 install binutils:amd64 <none> 2.34-6ubuntu1.1
2021-06-13 22:00:27 status half-installed binutils:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:27 status unpacked binutils:amd64 2.34-6ubuntu1.1
2021-06-13 22:00:27 install libc-dev-bin:amd64 <none> 2.31-0ubuntu9.2
2021-06-13 22:00:27 status half-installed libc-dev-bin:amd64 2.31-0ubuntu9.2
2021-06-13 22:00:27 status unpacked libc-dev-bin:amd64 2.31-0ubuntu9.2
2021-06-13 22:00:27 install linux-libc-dev:amd64 <none> 5.4.0-74.83
2021-06-13 22:00:27 status half-installed linux-libc-dev:amd64 5.4.0-74.83
2021-06-13 22:00:32 status unpacked linux-libc-dev:amd64 5.4.0-74.83
2021-06-13 22:00:32 install libcrypt-dev:amd64 <none> 1:4.4.10-10ubuntu4
2021-06-13 22:00:32 status half-installed libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2021-06-13 22:00:32 status unpacked libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2021-06-13 22:00:32 install libc6-dev:amd64 <none> 2.31-0ubuntu9.2
2021-06-13 22:00:32 status half-installed libc6-dev:amd64 2.31-0ubuntu9.2
2021-06-13 22:00:35 status unpacked libc6-dev:amd64 2.31-0ubuntu9.2
2021-06-13 22:00:35 install gcc-9-base:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:35 status half-installed gcc-9-base:amd64 9.3.0-17ubuntu1~20.04
