batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
1026262	1026262_23153_0_0.cram.crai	1026262_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFG0JXkBGfQGY3jj1fF43	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFJ0JXkB8qy9P3j9QQ3kX
1026271	1026271_23153_0_0.cram.crai	1026271_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8Z0JfPXY6fz03jJVf788	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8b0JfPXkPxkG3k8v637b
1026286	1026286_23153_0_0.cram.crai	1026286_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx3z8JXxf965763jfjyfPY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx420JXxf1Jx4y3kq3xjKP
1026310	1026310_23153_0_0.cram.crai	1026310_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYJ8JxyVG4jfV3jbZZ45y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYK0JxyVKxx324vBY0k62
1026335	1026335_23153_0_0.cram.crai	1026335_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx880J6Q57J5pq6gy76zy0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx888J6Q55xXGv3jPxvyvQ
1026344	1026344_23153_0_0.cram.crai	1026344_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5B5jJQ3Yyxx324vBY26q3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5B5jJQ3Yy7Jp68g0XY9yB
1026372	1026372_23153_0_0.cram.crai	1026372_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFk0JVyzyYGJZ3jyQ9qV2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFkQJVyzQF8xJ3kB9458Q
1026399	1026399_23153_0_0.cram.crai	1026399_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQXQJkbQp2P0F3P9JVqKJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQY0JkbQyYGJZ3jyQB39p
1026400	1026400_23153_0_0.cram.crai	1026400_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0GP8J4kqjzFQF3jG6zkgK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0GPQJ4kqQ05Q332gPZVkY
1026448	1026448_23153_0_0.cram.crai	1026448_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3b9jJ7GjKgz4q3jyq57yG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3b9jJ7GjGXqY33k9G48Kj
1026481	1026481_23153_0_0.cram.crai	1026481_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpZjJk0pFPjGp3jKQxxvf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxpb8Jk0pGXqY33k9G3QfB
1026526	1026526_23153_0_0.cram.crai	1026526_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxX00Jv7Pjqy9P3j9QQ4xK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxVqQJv7PzgyZ03jF792KG
