batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
1063317	1063317_23153_0_0.cram.crai	1063317_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz69QJ9FgJQqfk3jJYVxVf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz6B8J9FgJJ1YV3jzqZFk9
1063324	1063324_23153_0_0.cram.crai	1063324_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4FBQJ7Gj65Yx53k17G3PY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4FFjJ7Gj84gBb3kQYJj4q
1063338	1063338_23153_0_0.cram.crai	1063338_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkjQJZB9vVpbbGj7QXb44	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvkk8JZB9k65763jfjyZzG
1063363	1063363_23153_0_0.cram.crai	1063363_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1v8QJXpkpXXQZ3kp07q1g	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1v8QJXpkp2P0F3P9JX8BP
1063375	1063375_23153_0_0.cram.crai	1063375_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy5jJQ4b958zV3kz19fQg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy6QJQ4b88X51FVq6QX70
1063407	1063407_23153_0_0.cram.crai	1063407_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf47ZjJKBb93V1V3jZGG1bQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf47b8JKBbK7Jp68g0XY1Z9
1063410	1063410_23153_0_0.cram.crai	1063410_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxXjJKy1FPjGp3jKQxjpX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxY0JKy1GXqY33k9G3FP1
1063435	1063435_23153_0_0.cram.crai	1063435_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYx0Jf2kB2P0F3P9JVQGQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvYx0Jf2k7qjfP3kgKPBvj
1063456	1063456_23153_0_0.cram.crai	1063456_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbjQJZB4bj06Y3jy23BYX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvbk0JZB4fX5613kgxG35y
1063499	1063499_23153_0_0.cram.crai	1063499_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvp9jJQX0QyB833kVX9K87	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpBQJQX0vfQGY3jj1f8Q5
