batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
1000043	1000043_23153_0_0.cram.crai	1000043_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4xz8JkG43y25J9XJb6KkP	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4xzQJkG4JJ1YV3jzqb341
1000051	1000051_23153_0_0.cram.crai	1000051_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyg6jJgYk0jz7g3jJVVjGv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyg6jJgYkP6V3k3kzV103p
1000079	1000079_23153_0_0.cram.crai	1000079_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz26QJQF8Yy9vZ3kP6k18X	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz270JQF8pzx9v3k28PB8Q
1000128	1000128_23153_0_0.cram.crai	1000128_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxzZjJ1JfjzFQF3jG6zP0z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxzkQJ1JfyYGJZ3jyQ9zX9
1000144	1000144_23153_0_0.cram.crai	1000144_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyfj8JG5Qygz4q3jyq4Ygz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyfkjJG5QkXYqQ3jxxKQ1q
1000172	1000172_23153_0_0.cram.crai	1000172_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyFvjJFfkVJx4y3kq3y0pp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG3jJFfkvJ1Bv3jzp0P1z
1000199	1000199_23153_0_0.cram.crai	1000199_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf56fQJZZXkb4843jZpY7x5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf56fQJZZXyxx324vBY2634
1000206	1000206_23153_0_0.cram.crai	1000206_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxzq8JpgKG4jfV3jbZZ7B1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby01jJpgKK7Jp68g0XX0Vg
1000233	1000233_23153_0_0.cram.crai	1000233_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxGFjJfjz0yB833kVX9V4V	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxGFjJfjz9XYqQ3jxxK6gq
1000257	1000257_23153_0_0.cram.crai	1000257_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFJ8JyKKqJqj13pX3q6kv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFKjJyKKgqjfP3kgKPKPZ
1000294	1000294_23153_0_0.cram.crai	1000294_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3xB0J1v3kXYqQ3jxxP1jq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3xB8J1v3bVfK43k0bFkKx
1000326	1000326_23153_0_0.cram.crai	1000326_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4KZ8JpyVXQf4v3jQjpKpz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4KZjJpyVy32Fv3jjxkY88
1000342	1000342_23153_0_0.cram.crai	1000342_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf03G0J661GXqY33k9G3xk4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf03G0J66183pf33jvJvZ70
1000360	1000360_23153_0_0.cram.crai	1000360_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1q8JQqg0ZfJQ3kvV7QP6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1v8JQqg965763jfjyfF0
1000393	1000393_23153_0_0.cram.crai	1000393_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1k8QJQkFYfQVX3jFk0kKG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1k8jJQkFqJqj13pX3qv49
1000409	1000409_23153_0_0.cram.crai	1000409_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1jvQJQkFygz4q3jyq4xKz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1jx0JQkFy32Fv3jjxk70x
1000452	1000452_23153_0_0.cram.crai	1000452_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvjX0J7gPpyB9v3jV389q4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvjXQJ7gPyYGJZ3jyQ9jKG
1000475	1000475_23153_0_0.cram.crai	1000475_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyGZ0J06zFX08fG45vKBPg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyGZ8J06z0yB833kVX9gfK
1000569	1000569_23153_0_0.cram.crai	1000569_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx4JQJQX0bj06Y3jy23GgZ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx4JQJQX0fQX8B3kyz0b6g
1000576	1000576_23153_0_0.cram.crai	1000576_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxK8JXxfJ9g6y3jJvf5qj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxKQJXxf2Qf4v3jQjkK6Z
1000581	1000581_23153_0_0.cram.crai	1000581_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4ZVQJ9V0Q05Q332gPb186	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4ZX0J9V0XKg6V3jYvx2kp
1000597	1000597_23153_0_0.cram.crai	1000597_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf40xjJGVB286YP7ZVP5jZQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf40y0JGVB57v96P5VP84p2
1000608	1000608_23153_0_0.cram.crai	1000608_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypPjJJ9Z1Jx4y3kq3y40q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypQjJJ9Z83pf33jvJvPJX
1000639	1000639_23153_0_0.cram.crai	1000639_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy9jJY52bj06Y3jy23j7X	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyyB0JY52zgyZ03jF79GVj
1000671	1000671_23153_0_0.cram.crai	1000671_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxgy0Jk0p9PxkG3k8v65zj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxgy8Jk0pK7Jp68g0XVyjj
1000729	1000729_23153_0_0.cram.crai	1000729_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5xQJ0PQ6bJq23kb903PQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5xjJ0PQ0yB833kVX9z1Y
1000731	1000731_23153_0_0.cram.crai	1000731_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfqJY8JFYJ6Bb0PJpBJJ9JV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfqJY8JFYJBk0kz499VgjX2
1000782	1000782_23153_0_0.cram.crai	1000782_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybqfJ8J2qX1Jx4y3kq3xXpv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybqfJQJ2qX3fQVX3jFjzvXK
1000798	1000798_23153_0_0.cram.crai	1000798_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvjk0Jb715VfK43k0bBkg5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvjk8Jb71G4jfV3jbZYzpQ
1000802	1000802_23153_0_0.cram.crai	1000802_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG60JY52b7v96P5VP7FJ2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG68JY52YfQVX3jFk0Fqb
1000823	1000823_23153_0_0.cram.crai	1000823_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5X8J5ZGgqjfP3kgKPx13	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5Y0J5ZGVJx4y3kq3y8GY
1000830	1000830_23153_0_0.cram.crai	1000830_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFF0J37bQF8xJ3kB9454Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFF8J37bfbJq23kb8zfkQ
1000859	1000859_23153_0_0.cram.crai	1000859_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ2QJ2p4BZkpz3kYVK656	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ2QJ2p4FPjGp3jKQy37q
1000864	1000864_23153_0_0.cram.crai	1000864_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyY70J2p4BXXQZ3kp07JfJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyY70J2p4965763jfjyzf7
