batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4774190	4774190_23153_0_0.cram.crai	4774190_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6ZQJKgVQyB833kVX9fVq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6jjJKgVQjz7g3jJVVbVJ
4774208	4774208_23153_0_0.cram.crai	4774208_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXfjJB60b7v96P5VP70pv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXfjJB60p2P0F3P9JVQ8F
4774214	4774214_23153_0_0.cram.crai	4774214_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG5QJkqQQZfJQ3kvV7jQG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG5QJkqQfbJq23kb8zy7f
4774227	4774227_23153_0_0.cram.crai	4774227_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy5QJy2jpPb85K6yGzzYK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy5jJy2jbj06Y3jy23j5z
4774253	4774253_23153_0_0.cram.crai	4774253_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4GFQJ1v3YfQVX3jFk138X	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4GG8J1v3k65763jfjzxQV
4774307	4774307_23153_0_0.cram.crai	4774307_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybypj0JZxbGXqY33k9G3gf4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybypk0JZxbB2P0F3P9JVxXV
4774356	4774356_23153_0_0.cram.crai	4774356_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfyjJ8xV958zV3kz19ZZk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfyjJ8xVBZkpz3kYVK01P
4774399	4774399_23153_0_0.cram.crai	4774399_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby4qjJv7Px9g6y3jJvfJQF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby4vQJv7PYy25J9XJb5K57
4774400	4774400_23153_0_0.cram.crai	4774400_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbGjJ3xkBZkpz3kYVJpZx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbJ8J3xk9PxkG3k8v6083
4774481	4774481_23153_0_0.cram.crai	4774481_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4238JjvYzgyZ03jF7B3fX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf423jJjvYvXqY33k9G4Bxx
4774497	4774497_23153_0_0.cram.crai	4774497_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbjjJ7gVQjz7g3jJVVGF5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbjjJ7gVj3pf33jvJv19Z
4774501	4774501_23153_0_0.cram.crai	4774501_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP8QJ2kZf4Zg33jJkfkkv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxP98J2kZpXXQZ3kp076BZ
4774534	4774534_23153_0_0.cram.crai	4774534_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy8QJ5xqv4jfV3jbZZJQB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy98J5xqXQf4v3jQjkqK0
4774542	4774542_23153_0_0.cram.crai	4774542_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxXzQJ51Z0ZfJQ3kvV7Y8v	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxY0QJ51Z5VfK43k0bBy4k
4774560	4774560_23153_0_0.cram.crai	4774560_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybykg8J7gVY6fz03jJVfV4p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybykvQJ7gVkb4843jZpX8PF
4774602	4774602_23153_0_0.cram.crai	4774602_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4yVjJ9V0vfQGY3jj1gY8y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4yXQJ9V0XQf4v3jQjpXbb
4774615	4774615_23153_0_0.cram.crai	4774615_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy48JPZXB2P0F3P9JVgqV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy4jJPZX7qjfP3kgKPXVY
4774623	4774623_23153_0_0.cram.crai	4774623_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfPQJxQzbj06Y3jy23Bj0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfPjJxQzf5Yx53k17ByX7
