batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4750049	4750049_23153_0_0.cram.crai	4750049_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxyf8JB60ygz4q3jyq4P8G	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxyg8JB60x1vFb3k48gPY8
4750057	4750057_23153_0_0.cram.crai	4750057_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy4QJ06G83pf33jvJv9B3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxy4QJ06GBXXQZ3kp079VK
4750103	4750103_23153_0_0.cram.crai	4750103_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5b0J6b95j06Y3jy23YBp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5fjJ6b984gBb3kQYGf5q
4750158	4750158_23153_0_0.cram.crai	4750158_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby070JYq89g7P43kGQXJgY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxzk0JYq86bJq23kb8zq4K
4750208	4750208_23153_0_0.cram.crai	4750208_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby22jJfJBb7v96P5VP79Kg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby23jJfJBfQX8B3kyz0qB2
4750214	4750214_23153_0_0.cram.crai	4750214_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf47XjJpg1qX08fG45vP47q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf47XjJpg1Y6fz03jJVg3BZ
4750239	4750239_23153_0_0.cram.crai	4750239_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj18J7QYKgz4q3jyq4Z47	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj3QJ7QY2Kg6V3jYvv0X7
4750253	4750253_23153_0_0.cram.crai	4750253_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJZjJj9kk3V1V3jZGF4k6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyKF8Jj9kj3pf33jvJvGb8
4750262	4750262_23153_0_0.cram.crai	4750262_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfzjJj9kp2P0F3P9JVQkb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvg00Jj9kkPxkG3k8v60P2
4750271	4750271_23153_0_0.cram.crai	4750271_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4J30Jk54pZkpz3kYVP707	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4J38Jk54XQf4v3jQjpKVG
4750286	4750286_23153_0_0.cram.crai	4750286_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyV10JvyFpXXQZ3kp07JB9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyV48JvyFj3pf33jvJvJ7y
4750307	4750307_23153_0_0.cram.crai	4750307_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5P8JqXkY6fz03jJVf6jk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5bjJqXkjqy9P3j9QQ316
4750356	4750356_23153_0_0.cram.crai	4750356_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypG0JYVJqJqj13pX3qVVV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypGQJYVJxJ1YV3jzqZ4BG
4750361	4750361_23153_0_0.cram.crai	4750361_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz8k8JByx83pf33jvJvXf8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz8k8JByxPgyZ03jF79QPK
4750399	4750399_23153_0_0.cram.crai	4750399_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQ50JP4fj8X51FVq6QbbG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQ5QJP4fqJqj13pX3qP4B
4750432	4750432_23153_0_0.cram.crai	4750432_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxGjjJ51Z2Qf4v3jQjkQvz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxJ2jJ51Z3y25J9XJb59Q9
4750454	4750454_23153_0_0.cram.crai	4750454_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8kjJjBGgJ5pq6gy776ZJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8q8JjBGfQX8B3kyz0vg2
4750469	4750469_23153_0_0.cram.crai	4750469_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0YjJfjzKgz4q3jyq495x	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0b8JfjzB2P0F3P9JVX54
4750476	4750476_23153_0_0.cram.crai	4750476_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxVf0JpgK5VfK43k0bBxyB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxX5QJpgK958zV3kz19Yfj
4750501	4750501_23153_0_0.cram.crai	4750501_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby19QJY22p2P0F3P9JVjK3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby1BQJY22bxXGv3jPxx4KP
