batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4736975	4736975_23153_0_0.cram.crai	4736975_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4K4QJX740jz7g3jJVXY68	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4K50JX743y25J9XJb6F3f
4736980	4736980_23153_0_0.cram.crai	4736980_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8k0Jj9zkg7P43kGQXPG3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8kjJj9zY6fz03jJVfJJG
4737010	4737010_23153_0_0.cram.crai	4737010_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvvzjJK0ZpyB9v3jV38BQ1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvx0jJK0Zy7Jp68g0XVp1b
4737028	4737028_23153_0_0.cram.crai	4737028_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf12gjJPbFJ1vFb3k48gqbp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf12j0JPbF84gBb3kQYJ534
4737035	4737035_23153_0_0.cram.crai	4737035_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8GjJv7Pf5Yx53k17F1Gx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8J0Jv7Pk58zV3kz19X1G
4737044	4737044_23153_0_0.cram.crai	4737044_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyq90J8yf65Yx53k17FFKX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyqP0J8yf65Yx53k17FFQP
4737061	4737061_23153_0_0.cram.crai	4737061_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxyB0JZxbPzFk0PvKKKG2F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxyF8JZxb64Zg33jJkfvxQ
4737105	4737105_23153_0_0.cram.crai	4737105_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgFjJKy1G9ky93jF7Y76k	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxgFjJKy1BZkpz3kYVK071
4737118	4737118_23153_0_0.cram.crai	4737118_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z60JGVBP6V3k3kzV1v7P	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z6QJGVB57v96P5VP84Pv
4737179	4737179_23153_0_0.cram.crai	4737179_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fq0J5yyk3V1V3jZGG63y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fq8J5yypZkpz3kYVP98v
